GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD01_VD02,HD01_VD03
Id,Id2,Geography,Estimate; Total:,Estimate; Total: - Not Hispanic or Latino,Estimate; Total: - Hispanic or Latino
1500000US130670303101,1.31E+11,Block Group 1 Census Tract 303.10 Cobb County Georgia,1450,1301,149
1500000US130670303102,1.31E+11,Block Group 2 Census Tract 303.10 Cobb County Georgia,2330,2330,0
1500000US130670303103,1.31E+11,Block Group 3 Census Tract 303.10 Cobb County Georgia,776,542,234
1500000US130670303104,1.31E+11,Block Group 4 Census Tract 303.10 Cobb County Georgia,2308,1730,578
1500000US130670303105,1.31E+11,Block Group 5 Census Tract 303.10 Cobb County Georgia,1270,1145,125
1500000US130670303111,1.31E+11,Block Group 1 Census Tract 303.11 Cobb County Georgia,1816,1753,63
1500000US130670303112,1.31E+11,Block Group 2 Census Tract 303.11 Cobb County Georgia,1130,1116,14
1500000US130670303113,1.31E+11,Block Group 3 Census Tract 303.11 Cobb County Georgia,1111,1111,0
1500000US130670303114,1.31E+11,Block Group 4 Census Tract 303.11 Cobb County Georgia,2019,1782,237
1500000US130670303121,1.31E+11,Block Group 1 Census Tract 303.12 Cobb County Georgia,2609,2566,43
1500000US130670303122,1.31E+11,Block Group 2 Census Tract 303.12 Cobb County Georgia,1576,1390,186
1500000US130670303123,1.31E+11,Block Group 3 Census Tract 303.12 Cobb County Georgia,1253,1180,73
1500000US130670303124,1.31E+11,Block Group 4 Census Tract 303.12 Cobb County Georgia,711,624,87
1500000US130670303131,1.31E+11,Block Group 1 Census Tract 303.13 Cobb County Georgia,1457,1375,82
1500000US130670303132,1.31E+11,Block Group 2 Census Tract 303.13 Cobb County Georgia,524,524,0
1500000US130670303133,1.31E+11,Block Group 3 Census Tract 303.13 Cobb County Georgia,1158,1052,106
1500000US130670303134,1.31E+11,Block Group 4 Census Tract 303.13 Cobb County Georgia,1599,1571,28
1500000US130670303135,1.31E+11,Block Group 5 Census Tract 303.13 Cobb County Georgia,3245,3199,46
1500000US130670303141,1.31E+11,Block Group 1 Census Tract 303.14 Cobb County Georgia,2556,2200,356
1500000US130670303142,1.31E+11,Block Group 2 Census Tract 303.14 Cobb County Georgia,2416,2331,85
1500000US130670303143,1.31E+11,Block Group 3 Census Tract 303.14 Cobb County Georgia,3021,2781,240
1500000US130670303181,1.31E+11,Block Group 1 Census Tract 303.18 Cobb County Georgia,2350,2350,0
1500000US130670303182,1.31E+11,Block Group 2 Census Tract 303.18 Cobb County Georgia,3136,3085,51
1500000US130670303183,1.31E+11,Block Group 3 Census Tract 303.18 Cobb County Georgia,2518,2500,18
1500000US130670303191,1.31E+11,Block Group 1 Census Tract 303.19 Cobb County Georgia,1926,1889,37
1500000US130670303192,1.31E+11,Block Group 2 Census Tract 303.19 Cobb County Georgia,2300,2241,59
1500000US130670303201,1.31E+11,Block Group 1 Census Tract 303.20 Cobb County Georgia,3006,2839,167
1500000US130670303202,1.31E+11,Block Group 2 Census Tract 303.20 Cobb County Georgia,2652,2471,181
1500000US130670303203,1.31E+11,Block Group 3 Census Tract 303.20 Cobb County Georgia,2066,2005,61
1500000US130670303221,1.31E+11,Block Group 1 Census Tract 303.22 Cobb County Georgia,1174,1089,85
1500000US130670303222,1.31E+11,Block Group 2 Census Tract 303.22 Cobb County Georgia,2046,1948,98
1500000US130670303241,1.31E+11,Block Group 1 Census Tract 303.24 Cobb County Georgia,1786,1668,118
1500000US130670303242,1.31E+11,Block Group 2 Census Tract 303.24 Cobb County Georgia,1804,1742,62
1500000US130670303261,1.31E+11,Block Group 1 Census Tract 303.26 Cobb County Georgia,1746,1735,11
1500000US130670303262,1.31E+11,Block Group 2 Census Tract 303.26 Cobb County Georgia,1749,1718,31
1500000US130670303263,1.31E+11,Block Group 3 Census Tract 303.26 Cobb County Georgia,1139,711,428
1500000US130670303271,1.31E+11,Block Group 1 Census Tract 303.27 Cobb County Georgia,2956,2882,74
1500000US130670303272,1.31E+11,Block Group 2 Census Tract 303.27 Cobb County Georgia,1401,1371,30
1500000US130670303281,1.31E+11,Block Group 1 Census Tract 303.28 Cobb County Georgia,1808,1789,19
1500000US130670303282,1.31E+11,Block Group 2 Census Tract 303.28 Cobb County Georgia,2485,2131,354
1500000US130670303283,1.31E+11,Block Group 3 Census Tract 303.28 Cobb County Georgia,1913,1913,0
1500000US130670303291,1.31E+11,Block Group 1 Census Tract 303.29 Cobb County Georgia,2807,2757,50
1500000US130670303292,1.31E+11,Block Group 2 Census Tract 303.29 Cobb County Georgia,1669,1636,33
1500000US130670303301,1.31E+11,Block Group 1 Census Tract 303.30 Cobb County Georgia,1621,1575,46
1500000US130670303302,1.31E+11,Block Group 2 Census Tract 303.30 Cobb County Georgia,2526,2452,74
1500000US130670303303,1.31E+11,Block Group 3 Census Tract 303.30 Cobb County Georgia,1557,1547,10
1500000US130670303311,1.31E+11,Block Group 1 Census Tract 303.31 Cobb County Georgia,2138,2020,118
1500000US130670303312,1.31E+11,Block Group 2 Census Tract 303.31 Cobb County Georgia,2397,2189,208
1500000US130670303313,1.31E+11,Block Group 3 Census Tract 303.31 Cobb County Georgia,1205,1202,3
1500000US130670303321,1.31E+11,Block Group 1 Census Tract 303.32 Cobb County Georgia,1537,1537,0
1500000US130670303322,1.31E+11,Block Group 2 Census Tract 303.32 Cobb County Georgia,1931,1825,106
1500000US130670303331,1.31E+11,Block Group 1 Census Tract 303.33 Cobb County Georgia,3060,2888,172
1500000US130670303332,1.31E+11,Block Group 2 Census Tract 303.33 Cobb County Georgia,1918,1846,72
1500000US130670303333,1.31E+11,Block Group 3 Census Tract 303.33 Cobb County Georgia,1168,1168,0
1500000US130670303341,1.31E+11,Block Group 1 Census Tract 303.34 Cobb County Georgia,1431,1400,31
1500000US130670303342,1.31E+11,Block Group 2 Census Tract 303.34 Cobb County Georgia,1887,1873,14
1500000US130670303351,1.31E+11,Block Group 1 Census Tract 303.35 Cobb County Georgia,2417,2320,97
1500000US130670303352,1.31E+11,Block Group 2 Census Tract 303.35 Cobb County Georgia,2212,2134,78
1500000US130670303361,1.31E+11,Block Group 1 Census Tract 303.36 Cobb County Georgia,2026,1871,155
1500000US130670303362,1.31E+11,Block Group 2 Census Tract 303.36 Cobb County Georgia,1536,1445,91
1500000US130670303363,1.31E+11,Block Group 3 Census Tract 303.36 Cobb County Georgia,2396,2295,101
1500000US130670303364,1.31E+11,Block Group 4 Census Tract 303.36 Cobb County Georgia,1520,1467,53
1500000US130670303371,1.31E+11,Block Group 1 Census Tract 303.37 Cobb County Georgia,1681,1600,81
1500000US130670303372,1.31E+11,Block Group 2 Census Tract 303.37 Cobb County Georgia,1716,1627,89
