GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD01_VD02,HD01_VD03,HD01_VD04,HD01_VD05,HD01_VD06,HD01_VD07,HD01_VD08,HD01_VD09,HD01_VD10,HD01_VD11,HD01_VD12,HD01_VD13,HD01_VD14,HD01_VD15,HD01_VD16,HD01_VD17,HD01_VD18,HD01_VD19,HD01_VD20,HD01_VD21,HD01_VD22,HD01_VD23,HD01_VD24,HD01_VD25
Id,Id2,Geography,Estimate; Total:,Estimate; Total: - No schooling completed,Estimate; Total: - Nursery school,Estimate; Total: - Kindergarten,Estimate; Total: - 1st grade,Estimate; Total: - 2nd grade,Estimate; Total: - 3rd grade,Estimate; Total: - 4th grade,Estimate; Total: - 5th grade,Estimate; Total: - 6th grade,Estimate; Total: - 7th grade,Estimate; Total: - 8th grade,Estimate; Total: - 9th grade,Estimate; Total: - 10th grade,Estimate; Total: - 11th grade,Estimate; Total: - 12th grade no diploma,Estimate; Total: - Regular high school diploma,Estimate; Total: - GED or alternative credential,Estimate; Total: - Some college less than 1 year,Estimate; Total: - Some college 1 or more years no degree,Estimate; Total: - Associate's degree,Estimate; Total: - Bachelor's degree,Estimate; Total: - Master's degree,Estimate; Total: - Professional school degree,Estimate; Total: - Doctorate degree
0100000US,,United States,"209,056,129","2,886,666","28,612","38,463","140,352","316,010","656,325","516,574","728,363","2,768,475","1,054,643","3,059,196","3,555,052","4,264,386","4,813,043","3,761,588","50,169,338","8,271,262","13,102,493","31,139,065","16,580,076","38,184,668","16,246,947","4,088,689","2,685,843"
1500000US130630406062,130630000000,Block Group 2 Census Tract 406.06 Clayton County Georgia,1102,21,0,0,0,0,12,5,4,34,37,15,60,42,57,26,206,63,63,250,64,103,30,0,10
1500000US130630406081,130630000000,Block Group 1 Census Tract 406.08 Clayton County Georgia,5517,86,0,0,0,0,0,0,35,0,0,0,91,39,102,144,1317,161,359,1363,721,750,257,66,26
1500000US130630406082,130630000000,Block Group 2 Census Tract 406.08 Clayton County Georgia,1795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,342,76,70,417,209,472,168,41,0
1500000US130630406091,130630000000,Block Group 1 Census Tract 406.09 Clayton County Georgia,1046,53,0,0,0,0,0,0,0,0,22,31,20,11,24,5,233,99,31,174,132,175,36,0,0
1500000US130630406092,130630000000,Block Group 2 Census Tract 406.09 Clayton County Georgia,1573,0,0,0,0,0,0,0,27,0,0,26,40,78,0,0,331,95,95,371,73,280,157,0,0
1500000US130630406093,130630000000,Block Group 3 Census Tract 406.09 Clayton County Georgia,1270,0,0,0,0,0,0,0,0,29,0,0,0,0,0,10,322,11,24,352,75,261,129,21,36
1500000US130630406111,130630000000,Block Group 1 Census Tract 406.11 Clayton County Georgia,1818,69,0,0,0,0,0,0,0,0,0,236,79,56,121,28,588,68,0,352,111,110,0,0,0
1500000US130630406112,130630000000,Block Group 2 Census Tract 406.11 Clayton County Georgia,516,9,0,0,0,0,0,0,0,0,0,0,19,0,0,12,194,12,35,45,39,39,92,0,20
1500000US130630406113,130630000000,Block Group 3 Census Tract 406.11 Clayton County Georgia,1423,0,0,0,3,0,0,0,0,67,0,30,52,89,135,39,318,11,130,202,118,178,51,0,0
1500000US130630406121,130630000000,Block Group 1 Census Tract 406.12 Clayton County Georgia,496,23,0,0,0,0,0,0,0,0,9,0,0,20,10,11,186,40,27,34,71,34,23,8,0
1500000US130630406122,130630000000,Block Group 2 Census Tract 406.12 Clayton County Georgia,1970,99,0,0,0,0,0,0,7,32,0,17,139,0,40,8,647,198,107,419,119,125,13,0,0
1500000US130630406123,130630000000,Block Group 3 Census Tract 406.12 Clayton County Georgia,1653,28,0,0,0,0,0,0,5,10,0,33,69,153,67,45,402,227,65,299,120,102,24,4,0
1500000US130630406131,130630000000,Block Group 1 Census Tract 406.13 Clayton County Georgia,1373,81,0,0,0,0,3,0,0,0,0,22,19,10,15,38,390,63,35,224,65,247,93,68,0
1500000US130630406132,130630000000,Block Group 2 Census Tract 406.13 Clayton County Georgia,1163,79,0,0,0,0,0,0,0,0,0,0,0,97,18,50,292,6,90,250,81,91,96,0,13
1500000US130630406133,130630000000,Block Group 3 Census Tract 406.13 Clayton County Georgia,2225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,303,78,147,338,276,644,297,106,24
1500000US130630406141,130630000000,Block Group 1 Census Tract 406.14 Clayton County Georgia,1021,29,0,0,0,0,0,0,0,23,18,0,9,15,38,9,179,21,109,187,52,249,34,40,9
1500000US130630406142,130630000000,Block Group 2 Census Tract 406.14 Clayton County Georgia,1401,29,0,0,0,12,0,0,0,24,0,15,50,8,48,0,271,48,51,257,110,341,56,65,16
1500000US130630406143,130630000000,Block Group 3 Census Tract 406.14 Clayton County Georgia,846,0,0,0,0,0,0,0,0,0,0,23,59,10,5,8,232,18,40,177,100,113,28,17,16
1500000US130630406151,130630000000,Block Group 1 Census Tract 406.15 Clayton County Georgia,1333,25,0,0,0,0,0,0,0,28,24,26,12,3,27,27,380,16,155,257,148,156,28,21,0
1500000US130630406161,130630000000,Block Group 1 Census Tract 406.16 Clayton County Georgia,3095,13,0,0,0,0,0,0,0,63,0,0,0,17,97,24,992,96,189,305,526,602,142,29,0
1500000US130630406162,130630000000,Block Group 2 Census Tract 406.16 Clayton County Georgia,476,12,0,0,0,0,0,0,0,0,0,0,0,0,0,15,143,33,57,194,22,0,0,0,0
1500000US130630406163,130630000000,Block Group 3 Census Tract 406.16 Clayton County Georgia,1169,67,21,0,0,0,9,0,0,7,6,0,0,8,69,0,222,16,63,186,132,335,0,28,0
1500000US130630406171,130630000000,Block Group 1 Census Tract 406.17 Clayton County Georgia,786,90,0,0,34,42,22,0,16,133,17,32,13,39,40,0,142,28,59,24,46,9,0,0,0
1500000US130630406191,130630000000,Block Group 1 Census Tract 406.19 Clayton County Georgia,1826,11,37,0,0,0,0,0,0,0,0,0,0,131,40,43,438,30,83,433,121,311,117,0,31
1500000US130630406201,130630000000,Block Group 1 Census Tract 406.20 Clayton County Georgia,2160,0,0,0,0,0,0,0,0,0,1,26,37,0,51,36,615,100,262,542,136,242,106,6,0
1500000US130630406211,130630000000,Block Group 1 Census Tract 406.21 Clayton County Georgia,3253,14,0,0,0,0,0,0,0,0,69,19,101,0,26,69,838,67,147,592,367,520,339,85,0
1500000US130630406212,130630000000,Block Group 2 Census Tract 406.21 Clayton County Georgia,2603,41,0,0,0,0,0,1,0,41,0,10,27,96,63,177,452,113,94,506,270,490,166,9,47
