GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD01_VD02,HD01_VD03,HD01_VD04,HD01_VD05,HD01_VD06,HD01_VD07,HD01_VD08,HD01_VD09,HD01_VD10,HD01_VD11
Id,Id2,Geography,Estimate; Total:,Estimate; Households with one or more people 65 years and over:,Estimate; Households with one or more people 65 years and over: - 1-person household,Estimate; Households with one or more people 65 years and over: - 2-or-more-person household:,Estimate; Households with one or more people 65 years and over: - 2-or-more-person household: - Family households,Estimate; Households with one or more people 65 years and over: - 2-or-more-person household: - Nonfamily households,Estimate; Households with no people 65 years and over:,Estimate; Households with no people 65 years and over: - 1-person households,Estimate; Households with no people 65 years and over: - 2-or-more-person household:,Estimate; Households with no people 65 years and over: - 2-or-more-person household: - Family households,Estimate; Households with no people 65 years and over: - 2-or-more-person household: - Nonfamily households
1500000US130670302153,130670000000,Block Group 3 Census Tract 302.15 Cobb County Georgia,462,104,15,89,60,29,358,49,309,309,0
1500000US130670302154,130670000000,Block Group 4 Census Tract 302.15 Cobb County Georgia,1190,222,18,204,204,0,968,147,821,801,20
1500000US130670302181,130670000000,Block Group 1 Census Tract 302.18 Cobb County Georgia,949,212,78,134,134,0,737,0,737,737,0
1500000US130670302182,130670000000,Block Group 2 Census Tract 302.18 Cobb County Georgia,737,116,0,116,116,0,621,52,569,569,0
1500000US130670302191,130670000000,Block Group 1 Census Tract 302.19 Cobb County Georgia,808,243,86,157,144,13,565,73,492,477,15
1500000US130670302192,130670000000,Block Group 2 Census Tract 302.19 Cobb County Georgia,652,104,10,94,94,0,548,51,497,497,0
1500000US130670302193,130670000000,Block Group 3 Census Tract 302.19 Cobb County Georgia,779,128,0,128,128,0,651,146,505,505,0
1500000US130670302194,130670000000,Block Group 4 Census Tract 302.19 Cobb County Georgia,797,194,27,167,167,0,603,52,551,551,0
1500000US130670302201,130670000000,Block Group 1 Census Tract 302.20 Cobb County Georgia,599,91,14,77,77,0,508,45,463,413,50
1500000US130670302221,130670000000,Block Group 1 Census Tract 302.22 Cobb County Georgia,831,125,39,86,86,0,706,0,706,706,0
1500000US130670302222,130670000000,Block Group 2 Census Tract 302.22 Cobb County Georgia,720,193,42,151,151,0,527,124,403,403,0
1500000US130670302223,130670000000,Block Group 3 Census Tract 302.22 Cobb County Georgia,381,45,33,12,12,0,336,47,289,218,71
1500000US130670302231,130670000000,Block Group 1 Census Tract 302.23 Cobb County Georgia,981,290,50,240,240,0,691,93,598,573,25
1500000US130670302232,130670000000,Block Group 2 Census Tract 302.23 Cobb County Georgia,1017,159,52,107,94,13,858,372,486,335,151
1500000US130670302233,130670000000,Block Group 3 Census Tract 302.23 Cobb County Georgia,219,46,0,46,46,0,173,13,160,160,0
