GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD01_VD02,HD01_VD03,HD01_VD04,HD01_VD05,HD01_VD06,HD01_VD07,HD01_VD08,HD01_VD09,HD01_VD10,HD01_VD11,HD01_VD12,HD01_VD13,HD01_VD14,HD01_VD15,HD01_VD16,HD01_VD17,HD01_VD18,HD01_VD19,HD01_VD20,HD01_VD21
Id,Id2,Geography,Estimate; Total:,Estimate; In households:,Estimate; In households: - In family households:,Estimate; In households: - In family households: - Householder:,Estimate; In households: - In family households: - Householder: - Male,Estimate; In households: - In family households: - Householder: - Female,Estimate; In households: - In family households: - Spouse,Estimate; In households: - In family households: - Parent,Estimate; In households: - In family households: - Parent-in-law,Estimate; In households: - In family households: - Other relatives,Estimate; In households: - In family households: - Nonrelatives,Estimate; In households: - In nonfamily households:,Estimate; In households: - In nonfamily households: - Householder:,Estimate; In households: - In nonfamily households: - Householder: - Male:,Estimate; In households: - In nonfamily households: - Householder: - Male: - Living alone,Estimate; In households: - In nonfamily households: - Householder: - Male: - Not living alone,Estimate; In households: - In nonfamily households: - Householder: - Female:,Estimate; In households: - In nonfamily households: - Householder: - Female: - Living alone,Estimate; In households: - In nonfamily households: - Householder: - Female: - Not living alone,Estimate; In households: - In nonfamily households: - Nonrelatives,Estimate; In group quarters
1500000US130670314061,1.31E+11,Block Group 1 Census Tract 314.06 Cobb County Georgia,62,62,9,9,9,0,0,0,0,0,0,53,53,13,13,0,40,40,0,0,0
1500000US130670314062,1.31E+11,Block Group 2 Census Tract 314.06 Cobb County Georgia,484,244,27,27,0,27,0,0,0,0,0,217,217,36,36,0,181,181,0,0,240
1500000US130670314063,1.31E+11,Block Group 3 Census Tract 314.06 Cobb County Georgia,280,183,140,72,18,54,32,36,0,0,0,43,43,0,0,0,43,32,11,0,97
1500000US130670314081,1.31E+11,Block Group 1 Census Tract 314.08 Cobb County Georgia,103,103,86,41,0,41,26,19,0,0,0,17,17,0,0,0,17,17,0,0,0
1500000US130670314082,1.31E+11,Block Group 2 Census Tract 314.08 Cobb County Georgia,355,353,278,77,44,33,78,110,13,0,0,75,75,54,54,0,21,21,0,0,2
1500000US130670314083,1.31E+11,Block Group 3 Census Tract 314.08 Cobb County Georgia,122,122,78,34,0,34,10,27,0,7,0,44,44,0,0,0,44,44,0,0,0
1500000US130670314091,1.31E+11,Block Group 1 Census Tract 314.09 Cobb County Georgia,318,318,256,110,62,48,115,23,0,8,0,62,62,7,7,0,55,55,0,0,0
1500000US130670314092,1.31E+11,Block Group 2 Census Tract 314.09 Cobb County Georgia,114,114,94,44,13,31,30,20,0,0,0,20,20,6,6,0,14,14,0,0,0
1500000US130670315031,1.31E+11,Block Group 1 Census Tract 315.03 Cobb County Georgia,287,287,228,78,33,45,81,10,26,33,0,59,59,0,0,0,59,59,0,0,0
1500000US130670315032,1.31E+11,Block Group 2 Census Tract 315.03 Cobb County Georgia,309,309,277,191,167,24,0,0,0,86,0,32,32,0,0,0,32,32,0,0,0
1500000US130670315033,1.31E+11,Block Group 3 Census Tract 315.03 Cobb County Georgia,228,228,211,61,38,23,72,53,0,25,0,17,17,0,0,0,17,17,0,0,0
1500000US130670315034,1.31E+11,Block Group 4 Census Tract 315.03 Cobb County Georgia,235,235,106,82,82,0,24,0,0,0,0,129,129,28,28,0,101,86,15,0,0
1500000US130670315051,1.31E+11,Block Group 1 Census Tract 315.05 Cobb County Georgia,347,345,189,106,61,45,65,0,18,0,0,156,156,44,31,13,112,97,15,0,2
1500000US130670315052,1.31E+11,Block Group 2 Census Tract 315.05 Cobb County Georgia,80,80,80,40,25,15,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500000US130670315053,1.31E+11,Block Group 3 Census Tract 315.05 Cobb County Georgia,89,89,59,44,29,15,15,0,0,0,0,30,30,0,0,0,30,30,0,0,0
1500000US130670315061,1.31E+11,Block Group 1 Census Tract 315.06 Cobb County Georgia,224,224,153,88,75,13,65,0,0,0,0,71,71,26,12,14,45,45,0,0,0
1500000US130670315062,1.31E+11,Block Group 2 Census Tract 315.06 Cobb County Georgia,281,281,198,74,49,25,70,12,42,0,0,83,76,22,22,0,54,45,9,7,0
1500000US130670315063,1.31E+11,Block Group 3 Census Tract 315.06 Cobb County Georgia,110,110,102,41,33,8,50,0,0,11,0,8,8,0,0,0,8,8,0,0,0
1500000US130670315071,1.31E+11,Block Group 1 Census Tract 315.07 Cobb County Georgia,128,128,92,64,21,43,11,7,0,10,0,36,36,21,21,0,15,15,0,0,0
1500000US130670315072,1.31E+11,Block Group 2 Census Tract 315.07 Cobb County Georgia,311,142,89,44,28,16,45,0,0,0,0,53,53,8,8,0,45,45,0,0,169
1500000US130670315081,1.31E+11,Block Group 1 Census Tract 315.08 Cobb County Georgia,131,131,110,29,29,0,57,0,24,0,0,21,21,15,6,9,6,6,0,0,0
1500000US130670315082,1.31E+11,Block Group 2 Census Tract 315.08 Cobb County Georgia,413,413,349,168,144,24,131,41,9,0,0,64,60,4,0,4,56,56,0,4,0
1500000US130670315091,1.31E+11,Block Group 1 Census Tract 315.09 Cobb County Georgia,247,247,210,127,127,0,64,0,0,19,0,37,37,0,0,0,37,37,0,0,0
1500000US130670315092,1.31E+11,Block Group 2 Census Tract 315.09 Cobb County Georgia,61,61,25,25,14,11,0,0,0,0,0,36,36,0,0,0,36,36,0,0,0
1500000US130670315093,1.31E+11,Block Group 3 Census Tract 315.09 Cobb County Georgia,85,83,60,25,25,0,14,0,0,21,0,23,23,0,0,0,23,23,0,0,2
1500000US130670315094,1.31E+11,Block Group 4 Census Tract 315.09 Cobb County Georgia,301,301,280,124,82,42,108,48,0,0,0,21,21,10,10,0,11,11,0,0,0
1500000US130670315095,1.31E+11,Block Group 5 Census Tract 315.09 Cobb County Georgia,254,254,228,118,105,13,93,0,17,0,0,26,26,26,26,0,0,0,0,0,0
1500000US130890201001,1.31E+11,Block Group 1 Census Tract 201 DeKalb County Georgia,130,130,79,43,39,4,24,0,0,9,3,51,46,22,19,3,24,24,0,5,0
1500000US130890202001,1.31E+11,Block Group 1 Census Tract 202 DeKalb County Georgia,147,147,108,52,34,18,37,0,19,0,0,39,39,6,6,0,33,33,0,0,0
1500000US130890202002,1.31E+11,Block Group 2 Census Tract 202 DeKalb County Georgia,26,26,22,7,7,0,8,0,0,7,0,4,4,0,0,0,4,4,0,0,0
1500000US130890203001,1.31E+11,Block Group 1 Census Tract 203 DeKalb County Georgia,39,39,25,13,0,13,12,0,0,0,0,14,14,8,8,0,6,6,0,0,0
1500000US130890203002,1.31E+11,Block Group 2 Census Tract 203 DeKalb County Georgia,53,53,39,25,25,0,14,0,0,0,0,14,14,0,0,0,14,14,0,0,0
1500000US130890203003,1.31E+11,Block Group 3 Census Tract 203 DeKalb County Georgia,54,54,19,13,13,0,6,0,0,0,0,35,28,6,6,0,22,16,6,7,0
1500000US130890204001,1.31E+11,Block Group 1 Census Tract 204 DeKalb County Georgia,69,69,27,17,17,0,10,0,0,0,0,42,42,8,8,0,34,34,0,0,0
1500000US130890204002,1.31E+11,Block Group 2 Census Tract 204 DeKalb County Georgia,48,48,25,0,0,0,25,0,0,0,0,23,23,0,0,0,23,19,4,0,0
