GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD01_VD02,HD01_VD04,HD01_VD05,HD01_VD06,HD01_VD07,HD01_VD08,HD01_VD09,HD01_VD10,HD01_VD11,HD01_VD12,HD01_VD13,HD01_VD14,HD01_VD15,HD01_VD16,HD01_VD17,HD01_VD18,HD01_VD19,HD01_VD20,HD01_VD21,HD01_VD22,HD01_VD23,HD01_VD24,HD01_VD25,HD01_VD26,HD01_VD27,HD01_VD29,HD01_VD30,HD01_VD31,HD01_VD32,HD01_VD33,HD01_VD34,HD01_VD35,HD01_VD36,HD01_VD37,HD01_VD38,HD01_VD39,HD01_VD40,HD01_VD41,HD01_VD42,HD01_VD43,HD01_VD44,HD01_VD45,HD01_VD46,HD01_VD47,HD01_VD48,HD01_VD49,HD01_VD50,HD01_VD51
1500000US130890231082,130890000000,Block Group 2 Census Tract 231.08 DeKalb County Georgia,717,260,169,111,100,0,0,11,0,0,57,7,0,0,0,0,50,1,0,0,0,0,0,1,91,457,316,175,123,0,21,9,10,12,98,90,0,0,0,0,8,43,0,0,0,0,0,43,141
1500000US130890231083,130890000000,Block Group 3 Census Tract 231.08 DeKalb County Georgia,1109,465,355,268,173,52,9,0,26,8,87,26,0,0,14,0,47,0,0,0,0,0,0,0,110,644,331,236,210,11,15,0,0,0,66,26,0,20,0,0,20,29,0,0,8,0,0,21,313
1500000US130890231111,130890000000,Block Group 1 Census Tract 231.11 DeKalb County Georgia,1320,668,452,302,242,0,0,8,52,0,111,60,7,0,28,11,5,39,0,0,0,0,0,39,216,652,427,310,272,0,31,7,0,0,90,52,0,0,20,0,18,27,7,0,0,0,0,20,225
1500000US130890231121,130890000000,Block Group 1 Census Tract 231.12 DeKalb County Georgia,960,528,450,323,259,0,29,35,0,0,83,16,16,0,0,8,43,44,21,0,0,0,0,23,78,432,335,252,161,0,19,0,59,13,83,45,0,9,29,0,0,0,0,0,0,0,0,0,97
1500000US130890231122,130890000000,Block Group 2 Census Tract 231.12 DeKalb County Georgia,1440,622,493,399,266,8,0,81,0,44,83,49,0,0,21,13,0,11,0,0,0,11,0,0,129,818,520,414,294,17,48,34,0,21,106,0,0,6,17,67,16,0,0,0,0,0,0,0,298
1500000US130890231123,130890000000,Block Group 3 Census Tract 231.12 DeKalb County Georgia,423,249,189,126,67,0,21,18,0,20,18,0,0,0,18,0,0,45,0,0,16,0,13,16,60,174,132,91,70,0,21,0,0,0,41,41,0,0,0,0,0,0,0,0,0,0,0,0,42
1500000US130890231131,130890000000,Block Group 1 Census Tract 231.13 DeKalb County Georgia,1168,448,337,261,248,0,1,10,2,0,33,24,0,0,0,2,7,43,29,0,0,0,0,14,111,720,479,326,270,0,31,17,0,8,153,131,0,11,6,5,0,0,0,0,0,0,0,0,241
1500000US130890231132,130890000000,Block Group 2 Census Tract 231.13 DeKalb County Georgia,1010,547,414,373,281,16,18,9,20,29,27,0,27,0,0,0,0,14,0,0,0,14,0,0,133,463,378,207,194,5,0,8,0,0,171,164,0,0,0,0,7,0,0,0,0,0,0,0,85
1500000US130890231141,130890000000,Block Group 1 Census Tract 231.14 DeKalb County Georgia,927,364,292,277,156,0,66,25,22,8,15,8,7,0,0,0,0,0,0,0,0,0,0,0,72,563,391,328,166,66,14,43,20,19,59,0,0,0,59,0,0,4,0,0,0,4,0,0,172
1500000US130890231142,130890000000,Block Group 2 Census Tract 231.14 DeKalb County Georgia,750,446,281,270,248,0,7,0,0,15,11,0,0,0,11,0,0,0,0,0,0,0,0,0,165,304,220,151,123,4,10,11,0,3,48,10,0,0,13,0,25,21,0,0,0,5,16,0,84
1500000US130890231151,130890000000,Block Group 1 Census Tract 231.15 DeKalb County Georgia,3214,2854,1260,950,230,175,83,141,171,150,248,61,14,21,54,19,79,62,8,0,0,0,37,17,1594,360,152,83,16,13,5,5,15,29,41,28,0,0,5,5,3,28,0,0,0,0,0,28,208
1500000US130890232041,130890000000,Block Group 1 Census Tract 232.04 DeKalb County Georgia,1464,602,493,356,240,92,24,0,0,0,69,57,0,12,0,0,0,68,68,0,0,0,0,0,109,862,557,414,350,0,18,46,0,0,143,45,0,0,0,0,98,0,0,0,0,0,0,0,305
1500000US130890232042,130890000000,Block Group 2 Census Tract 232.04 DeKalb County Georgia,2106,864,429,382,345,0,18,0,15,4,47,47,0,0,0,0,0,0,0,0,0,0,0,0,435,1242,905,863,665,13,0,11,0,174,42,0,0,12,0,30,0,0,0,0,0,0,0,0,337
1500000US130890232043,130890000000,Block Group 3 Census Tract 232.04 DeKalb County Georgia,1526,678,499,451,344,36,0,30,0,41,37,22,0,1,0,14,0,11,0,0,0,0,0,11,179,848,492,268,223,12,0,0,20,13,150,93,0,0,3,29,25,74,13,0,20,0,22,19,356
1500000US130890232061,130890000000,Block Group 1 Census Tract 232.06 DeKalb County Georgia,1875,935,783,633,549,27,40,0,0,17,118,82,0,0,16,20,0,32,0,0,0,0,0,32,152,940,636,490,395,12,47,0,18,18,135,43,0,0,41,31,20,11,0,0,0,0,0,11,304
1500000US130890232062,130890000000,Block Group 2 Census Tract 232.06 DeKalb County Georgia,1923,1017,575,520,450,0,0,0,0,70,35,0,0,0,0,13,22,20,0,0,0,0,0,20,442,906,666,597,406,7,75,0,63,46,44,16,0,0,0,28,0,25,0,10,0,0,15,0,240
1500000US130890232063,130890000000,Block Group 3 Census Tract 232.06 DeKalb County Georgia,1458,731,482,267,244,0,0,1,1,21,200,17,20,80,37,30,16,15,0,0,0,0,0,15,249,727,345,290,277,0,13,0,0,0,34,11,0,23,0,0,0,21,0,0,0,21,0,0,382
1500000US130890232081,130890000000,Block Group 1 Census Tract 232.08 DeKalb County Georgia,1964,1001,761,440,355,17,0,23,0,45,218,218,0,0,0,0,0,103,0,0,54,11,0,38,240,963,829,523,325,0,68,0,26,104,197,111,0,30,0,16,40,109,43,0,0,0,66,0,134
1500000US130890232082,130890000000,Block Group 2 Census Tract 232.08 DeKalb County Georgia,1092,496,397,228,183,0,0,0,0,45,85,85,0,0,0,0,0,84,23,0,0,0,61,0,99,596,387,327,314,13,0,0,0,0,60,12,7,0,25,0,16,0,0,0,0,0,0,0,209
1500000US130890232083,130890000000,Block Group 3 Census Tract 232.08 DeKalb County Georgia,1746,811,397,343,277,0,9,0,57,0,54,17,0,0,0,37,0,0,0,0,0,0,0,0,414,935,621,482,432,11,9,0,0,30,76,36,0,0,40,0,0,63,37,0,0,0,26,0,314
1500000US130890232091,130890000000,Block Group 1 Census Tract 232.09 DeKalb County Georgia,934,400,241,226,163,0,31,3,29,0,15,4,0,0,0,0,11,0,0,0,0,0,0,0,159,534,377,340,239,3,31,21,35,11,29,15,0,2,0,0,12,8,8,0,0,0,0,0,157
1500000US130890232092,130890000000,Block Group 2 Census Tract 232.09 DeKalb County Georgia,1719,858,624,525,465,0,14,0,23,23,99,84,0,15,0,0,0,0,0,0,0,0,0,0,234,861,654,509,453,0,0,0,56,0,108,27,0,37,21,10,13,37,0,0,0,0,22,15,207
1500000US130890232093,130890000000,Block Group 3 Census Tract 232.09 DeKalb County Georgia,1192,512,403,250,194,0,12,0,44,0,141,65,0,14,9,45,8,12,0,0,0,0,0,12,109,680,416,379,306,53,0,9,0,11,37,28,0,0,0,0,9,0,0,0,0,0,0,0,264
