GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD01_VD02,HD01_VD03,HD01_VD04,HD01_VD05,HD01_VD06,HD01_VD07,HD01_VD08,HD01_VD09,HD01_VD10,HD01_VD11,HD01_VD12,HD01_VD13,HD01_VD14,HD01_VD15,HD01_VD16,HD01_VD17,HD01_VD18,HD01_VD19
Id,Id2,Geography,Estimate; Total:,Estimate; Male:,Estimate; Male: - Never married,Estimate; Male: - Now married:,Estimate; Male: - Now married: - Married spouse present,Estimate; Male: - Now married: - Married spouse absent:,Estimate; Male: - Now married: - Married spouse absent: - Separated,Estimate; Male: - Now married: - Married spouse absent: - Other,Estimate; Male: - Widowed,Estimate; Male: - Divorced,Estimate; Female:,Estimate; Female: - Never married,Estimate; Female: - Now married:,Estimate; Female: - Now married: - Married spouse present,Estimate; Female: - Now married: - Married spouse absent:,Estimate; Female: - Now married: - Married spouse absent: - Separated,Estimate; Female: - Now married: - Married spouse absent: - Other,Estimate; Female: - Widowed,Estimate; Female: - Divorced
1500000US131210113011,1.31E+11,Block Group 1 Census Tract 113.01 Fulton County Georgia,712,155,50,43,43,0,0,0,34,28,557,167,106,44,62,62,0,86,198
1500000US131210113012,1.31E+11,Block Group 2 Census Tract 113.01 Fulton County Georgia,406,154,123,31,8,23,23,0,0,0,252,154,7,7,0,0,0,75,16
1500000US131210113013,1.31E+11,Block Group 3 Census Tract 113.01 Fulton County Georgia,354,184,123,56,56,0,0,0,0,5,170,67,80,52,28,11,17,17,6
1500000US131210113014,1.31E+11,Block Group 4 Census Tract 113.01 Fulton County Georgia,1058,577,363,145,83,62,28,34,13,56,481,259,107,84,23,23,0,34,81
1500000US131210113015,1.31E+11,Block Group 5 Census Tract 113.01 Fulton County Georgia,546,264,133,86,86,0,0,0,0,45,282,70,72,67,5,5,0,71,69
1500000US131210113016,1.31E+11,Block Group 6 Census Tract 113.01 Fulton County Georgia,856,452,305,114,50,64,50,14,0,33,404,280,66,51,15,0,15,24,34
1500000US131210113031,1.31E+11,Block Group 1 Census Tract 113.03 Fulton County Georgia,2843,1248,634,467,393,74,52,22,32,115,1595,687,483,387,96,54,42,145,280
1500000US131210113032,1.31E+11,Block Group 2 Census Tract 113.03 Fulton County Georgia,979,490,176,253,181,72,72,0,30,31,489,96,193,179,14,0,14,12,188
1500000US131210113033,1.31E+11,Block Group 3 Census Tract 113.03 Fulton County Georgia,476,289,163,88,67,21,12,9,22,16,187,31,87,66,21,21,0,12,57
1500000US131210113034,1.31E+11,Block Group 4 Census Tract 113.03 Fulton County Georgia,515,227,97,112,75,37,0,37,0,18,288,110,98,84,14,0,14,38,42
1500000US131210113035,1.31E+11,Block Group 5 Census Tract 113.03 Fulton County Georgia,2375,1192,637,344,251,93,61,32,0,211,1183,516,461,263,198,127,71,73,133
1500000US131210113051,1.31E+11,Block Group 1 Census Tract 113.05 Fulton County Georgia,771,461,198,143,110,33,33,0,21,99,310,112,130,106,24,13,11,22,46
1500000US131210113052,1.31E+11,Block Group 2 Census Tract 113.05 Fulton County Georgia,1393,604,390,183,124,59,50,9,0,31,789,425,210,91,119,60,59,0,154
1500000US131210113053,1.31E+11,Block Group 3 Census Tract 113.05 Fulton County Georgia,1107,490,304,163,147,16,16,0,7,16,617,358,172,137,35,26,9,22,65
1500000US131210113061,1.31E+11,Block Group 1 Census Tract 113.06 Fulton County Georgia,948,384,272,76,54,22,0,22,6,30,564,421,83,54,29,9,20,5,55
1500000US131210113062,1.31E+11,Block Group 2 Census Tract 113.06 Fulton County Georgia,823,364,103,187,175,12,12,0,17,57,459,158,171,166,5,0,5,87,43
1500000US131210114051,1.31E+11,Block Group 1 Census Tract 114.05 Fulton County Georgia,1640,762,407,256,249,7,2,5,20,79,878,350,274,247,27,0,27,49,205
1500000US131210114052,1.31E+11,Block Group 2 Census Tract 114.05 Fulton County Georgia,1106,631,312,295,267,28,0,28,0,24,475,66,292,261,31,0,31,27,90
1500000US131210114053,1.31E+11,Block Group 3 Census Tract 114.05 Fulton County Georgia,2106,1445,698,620,239,381,0,381,71,56,661,169,368,249,119,0,119,26,98
1500000US131210114054,1.31E+11,Block Group 4 Census Tract 114.05 Fulton County Georgia,1870,970,390,518,300,218,0,218,0,62,900,440,330,275,55,0,55,45,85
1500000US131210114101,1.31E+11,Block Group 1 Census Tract 114.10 Fulton County Georgia,2462,1422,419,790,699,91,0,91,0,213,1040,174,671,659,12,0,12,150,45
1500000US131210114102,1.31E+11,Block Group 2 Census Tract 114.10 Fulton County Georgia,1826,750,133,554,554,0,0,0,16,47,1076,350,542,542,0,0,0,33,151
1500000US131210114103,1.31E+11,Block Group 3 Census Tract 114.10 Fulton County Georgia,1775,836,173,595,540,55,0,55,0,68,939,258,562,519,43,1,42,69,50
1500000US131210114111,1.31E+11,Block Group 1 Census Tract 114.11 Fulton County Georgia,2120,950,279,546,513,33,14,19,13,112,1170,346,569,508,61,42,19,100,155
1500000US131210114112,1.31E+11,Block Group 2 Census Tract 114.11 Fulton County Georgia,741,279,31,237,237,0,0,0,0,11,462,159,231,231,0,0,0,57,15
1500000US131210114113,1.31E+11,Block Group 3 Census Tract 114.11 Fulton County Georgia,1914,1094,568,469,330,139,84,55,43,14,820,365,379,323,56,32,24,16,60
1500000US131210114114,1.31E+11,Block Group 4 Census Tract 114.11 Fulton County Georgia,755,419,52,310,283,27,0,27,0,57,336,48,271,271,0,0,0,17,0
1500000US131210114115,1.31E+11,Block Group 5 Census Tract 114.11 Fulton County Georgia,896,377,41,265,265,0,0,0,0,71,519,138,335,268,67,0,67,0,46
1500000US131210114121,1.31E+11,Block Group 1 Census Tract 114.12 Fulton County Georgia,3037,1424,433,898,819,79,0,79,26,67,1613,507,903,836,67,27,40,84,119
1500000US131210114122,1.31E+11,Block Group 2 Census Tract 114.12 Fulton County Georgia,1646,727,194,418,388,30,15,15,0,115,919,221,402,402,0,0,0,80,216
1500000US131210114123,1.31E+11,Block Group 3 Census Tract 114.12 Fulton County Georgia,2368,1131,439,594,570,24,0,24,27,71,1237,256,602,564,38,13,25,50,329
1500000US131210114141,1.31E+11,Block Group 1 Census Tract 114.14 Fulton County Georgia,1508,876,565,297,297,0,0,0,0,14,632,138,365,316,49,10,39,56,73
1500000US131210114142,1.31E+11,Block Group 2 Census Tract 114.14 Fulton County Georgia,950,475,83,362,362,0,0,0,11,19,475,101,364,350,14,14,0,0,10
1500000US131210114143,1.31E+11,Block Group 3 Census Tract 114.14 Fulton County Georgia,1577,730,110,514,514,0,0,0,11,95,847,177,508,508,0,0,0,63,99
1500000US131210114144,1.31E+11,Block Group 4 Census Tract 114.14 Fulton County Georgia,1812,793,485,242,222,20,20,0,0,66,1019,534,243,216,27,14,13,63,179
1500000US131210114161,1.31E+11,Block Group 1 Census Tract 114.16 Fulton County Georgia,1774,968,225,632,592,40,0,40,50,61,806,129,588,588,0,0,0,18,71
1500000US131210114162,1.31E+11,Block Group 2 Census Tract 114.16 Fulton County Georgia,1618,744,100,611,611,0,0,0,0,33,874,168,587,575,12,0,12,62,57
1500000US131210114163,1.31E+11,Block Group 3 Census Tract 114.16 Fulton County Georgia,843,385,53,264,264,0,0,0,0,68,458,106,259,259,0,0,0,67,26
1500000US131210114171,1.31E+11,Block Group 1 Census Tract 114.17 Fulton County Georgia,906,435,122,286,265,21,0,21,8,19,471,117,264,249,15,15,0,11,79
1500000US131210114172,1.31E+11,Block Group 2 Census Tract 114.17 Fulton County Georgia,1295,515,116,331,331,0,0,0,58,10,780,135,334,323,11,0,11,230,81
1500000US131210114173,1.31E+11,Block Group 3 Census Tract 114.17 Fulton County Georgia,1218,512,167,299,288,11,0,11,15,31,706,158,292,282,10,8,2,34,222
1500000US131210114174,1.31E+11,Block Group 4 Census Tract 114.17 Fulton County Georgia,509,239,9,203,192,11,11,0,0,27,270,17,157,157,0,0,0,43,53
1500000US131210114181,1.31E+11,Block Group 1 Census Tract 114.18 Fulton County Georgia,879,441,147,253,253,0,0,0,24,17,438,119,247,247,0,0,0,56,16
1500000US131210114182,1.31E+11,Block Group 2 Census Tract 114.18 Fulton County Georgia,536,256,37,174,174,0,0,0,27,18,280,28,180,169,11,11,0,0,72
1500000US131210114183,1.31E+11,Block Group 3 Census Tract 114.18 Fulton County Georgia,719,399,123,276,259,17,0,17,0,0,320,23,255,255,0,0,0,27,15
1500000US131210114184,1.31E+11,Block Group 4 Census Tract 114.18 Fulton County Georgia,2821,1321,317,853,817,36,0,36,75,76,1500,238,835,814,21,12,9,200,227
1500000US131210114191,1.31E+11,Block Group 1 Census Tract 114.19 Fulton County Georgia,1216,564,93,366,366,0,0,0,44,61,652,64,354,349,5,5,0,90,144
1500000US131210114192,1.31E+11,Block Group 2 Census Tract 114.19 Fulton County Georgia,1423,639,175,339,339,0,0,0,37,88,784,182,331,331,0,0,0,128,143
1500000US131210114193,1.31E+11,Block Group 3 Census Tract 114.19 Fulton County Georgia,1769,811,237,481,441,40,21,19,42,51,958,154,466,447,19,0,19,196,142
1500000US131210114201,1.31E+11,Block Group 1 Census Tract 114.20 Fulton County Georgia,1085,476,210,209,92,117,0,117,0,57,609,319,206,100,106,79,27,8,76
1500000US131210114202,1.31E+11,Block Group 2 Census Tract 114.20 Fulton County Georgia,2659,1606,808,637,381,256,55,201,0,161,1053,521,454,410,44,0,44,0,78
1500000US131210114203,1.31E+11,Block Group 3 Census Tract 114.20 Fulton County Georgia,1431,824,381,408,305,103,52,51,17,18,607,236,280,280,0,0,0,28,63
1500000US131210114211,1.31E+11,Block Group 1 Census Tract 114.21 Fulton County Georgia,1879,871,353,416,335,81,53,28,9,93,1008,316,372,317,55,10,45,28,292
1500000US131210114212,1.31E+11,Block Group 2 Census Tract 114.21 Fulton County Georgia,1264,658,389,251,146,105,34,71,0,18,606,307,250,132,118,5,113,21,28
1500000US131210114221,1.31E+11,Block Group 1 Census Tract 114.22 Fulton County Georgia,2534,1097,325,667,618,49,34,15,23,82,1437,404,635,599,36,17,19,118,280
1500000US131210114222,1.31E+11,Block Group 2 Census Tract 114.22 Fulton County Georgia,918,374,135,204,204,0,0,0,0,35,544,324,205,205,0,0,0,8,7
1500000US131210114231,1.31E+11,Block Group 1 Census Tract 114.23 Fulton County Georgia,784,412,70,238,238,0,0,0,9,95,372,81,249,234,15,0,15,0,42
1500000US131210114232,1.31E+11,Block Group 2 Census Tract 114.23 Fulton County Georgia,1449,728,148,549,453,96,0,96,12,19,721,131,508,439,69,0,69,76,6
1500000US131210114233,1.31E+11,Block Group 3 Census Tract 114.23 Fulton County Georgia,988,494,111,321,295,26,26,0,0,62,494,82,302,283,19,8,11,17,93
1500000US131210114234,1.31E+11,Block Group 4 Census Tract 114.23 Fulton County Georgia,704,393,172,207,207,0,0,0,0,14,311,76,215,214,1,0,1,9,11
