GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD01_VD02,HD01_VD03,HD01_VD04,HD01_VD05,HD01_VD06,HD01_VD07,HD01_VD08,HD01_VD09,HD01_VD10,HD01_VD11,HD01_VD12,HD01_VD13,HD01_VD14,HD01_VD15,HD01_VD16,HD01_VD17,HD01_VD18,HD01_VD19,HD01_VD20,HD01_VD21
Id,Id2,Geography,Estimate; Total:,Estimate; Male:,Estimate; Male: - Private for-profit wage and salary workers:,Estimate; Male: - Private for-profit wage and salary workers: - Employee of private company workers,Estimate; Male: - Private for-profit wage and salary workers: - Self-employed in own incorporated business workers,Estimate; Male: - Private not-for-profit wage and salary workers,Estimate; Male: - Local government workers,Estimate; Male: - State government workers,Estimate; Male: - Federal government workers,Estimate; Male: - Self-employed in own not incorporated business workers,Estimate; Male: - Unpaid family workers,Estimate; Female:,Estimate; Female: - Private for-profit wage and salary workers:,Estimate; Female: - Private for-profit wage and salary workers: - Employee of private company workers,Estimate; Female: - Private for-profit wage and salary workers: - Self-employed in own incorporated business workers,Estimate; Female: - Private not-for-profit wage and salary workers,Estimate; Female: - Local government workers,Estimate; Female: - State government workers,Estimate; Female: - Federal government workers,Estimate; Female: - Self-employed in own not incorporated business workers,Estimate; Female: - Unpaid family workers
1500000US130630405192,130630000000,Block Group 2 Census Tract 405.19 Clayton County Georgia,390,204,153,153,0,32,19,0,0,0,0,186,123,123,0,40,23,0,0,0,0
1500000US130630405201,130630000000,Block Group 1 Census Tract 405.20 Clayton County Georgia,231,87,77,77,0,0,0,0,6,4,0,144,123,123,0,0,21,0,0,0,0
1500000US130630405202,130630000000,Block Group 2 Census Tract 405.20 Clayton County Georgia,352,248,168,151,17,22,13,0,28,17,0,104,86,86,0,11,0,0,7,0,0
1500000US130630405203,130630000000,Block Group 3 Census Tract 405.20 Clayton County Georgia,896,443,337,325,12,28,21,0,21,36,0,453,433,418,15,11,0,9,0,0,0
1500000US130630405211,130630000000,Block Group 1 Census Tract 405.21 Clayton County Georgia,670,373,238,238,0,4,40,0,18,73,0,297,236,228,8,0,40,0,7,14,0
1500000US130630405212,130630000000,Block Group 2 Census Tract 405.21 Clayton County Georgia,804,395,224,224,0,135,0,0,36,0,0,409,237,237,0,72,19,16,46,19,0
1500000US130630405221,130630000000,Block Group 1 Census Tract 405.22 Clayton County Georgia,698,410,371,371,0,23,16,0,0,0,0,288,203,203,0,31,47,0,7,0,0
1500000US130630405222,130630000000,Block Group 2 Census Tract 405.22 Clayton County Georgia,636,301,176,151,25,55,5,12,0,38,15,335,239,219,20,45,0,16,0,35,0
1500000US130630405223,130630000000,Block Group 3 Census Tract 405.22 Clayton County Georgia,349,201,95,95,0,0,4,46,0,56,0,148,101,93,8,0,25,10,0,12,0
1500000US130630405231,130630000000,Block Group 1 Census Tract 405.23 Clayton County Georgia,1583,817,790,763,27,0,19,0,0,8,0,766,613,612,1,60,37,7,49,0,0
1500000US130630405241,130630000000,Block Group 1 Census Tract 405.24 Clayton County Georgia,1021,432,372,372,0,0,41,0,0,19,0,589,448,439,9,0,76,58,7,0,0
1500000US130630405242,130630000000,Block Group 2 Census Tract 405.24 Clayton County Georgia,1125,627,478,478,0,0,0,100,31,18,0,498,206,206,0,69,85,42,96,0,0
1500000US130630405243,130630000000,Block Group 3 Census Tract 405.24 Clayton County Georgia,320,153,136,136,0,0,0,0,0,17,0,167,131,131,0,11,25,0,0,0,0
1500000US130630405244,130630000000,Block Group 4 Census Tract 405.24 Clayton County Georgia,980,415,372,372,0,15,28,0,0,0,0,565,276,275,1,180,59,0,50,0,0
1500000US130630405251,130630000000,Block Group 1 Census Tract 405.25 Clayton County Georgia,1171,401,321,321,0,0,30,23,6,21,0,770,491,465,26,42,92,111,28,6,0
1500000US130630405261,130630000000,Block Group 1 Census Tract 405.26 Clayton County Georgia,811,423,351,349,2,0,20,0,13,39,0,388,282,282,0,21,56,14,0,15,0
1500000US130630405262,130630000000,Block Group 2 Census Tract 405.26 Clayton County Georgia,925,443,349,335,14,0,38,0,0,56,0,482,405,405,0,33,34,0,0,10,0
1500000US130630405263,130630000000,Block Group 3 Census Tract 405.26 Clayton County Georgia,557,242,131,131,0,10,0,0,76,25,0,315,182,182,0,0,40,57,0,36,0
1500000US130630406061,130630000000,Block Group 1 Census Tract 406.06 Clayton County Georgia,756,381,293,293,0,59,13,0,7,9,0,375,276,244,32,0,81,9,0,9,0
1500000US130630406062,130630000000,Block Group 2 Census Tract 406.06 Clayton County Georgia,396,177,107,107,0,12,7,0,7,44,0,219,150,142,8,8,13,24,12,12,0
1500000US130630406081,130630000000,Block Group 1 Census Tract 406.08 Clayton County Georgia,3691,1775,1185,1142,43,25,194,49,160,162,0,1916,1294,1294,0,106,210,74,86,146,0
1500000US130630406082,130630000000,Block Group 2 Census Tract 406.08 Clayton County Georgia,1530,580,460,443,17,26,32,20,22,20,0,950,592,571,21,22,141,30,80,85,0
1500000US130630406091,130630000000,Block Group 1 Census Tract 406.09 Clayton County Georgia,653,288,205,205,0,0,0,21,33,29,0,365,259,259,0,76,10,20,0,0,0
1500000US130630406092,130630000000,Block Group 2 Census Tract 406.09 Clayton County Georgia,793,469,390,390,0,0,44,0,35,0,0,324,208,205,3,20,65,12,19,0,0
1500000US130630406093,130630000000,Block Group 3 Census Tract 406.09 Clayton County Georgia,1198,666,432,432,0,91,87,26,0,30,0,532,381,360,21,20,25,63,16,27,0
1500000US130630406111,130630000000,Block Group 1 Census Tract 406.11 Clayton County Georgia,956,512,387,387,0,64,42,0,0,19,0,444,422,343,79,0,22,0,0,0,0
1500000US130630406112,130630000000,Block Group 2 Census Tract 406.11 Clayton County Georgia,351,162,107,102,5,15,40,0,0,0,0,189,83,83,0,16,60,0,16,14,0
1500000US130630406113,130630000000,Block Group 3 Census Tract 406.11 Clayton County Georgia,1027,534,431,431,0,27,0,0,14,62,0,493,367,367,0,0,51,45,13,17,0
1500000US130630406121,130630000000,Block Group 1 Census Tract 406.12 Clayton County Georgia,329,138,110,92,18,13,0,0,5,10,0,191,123,123,0,3,22,7,30,6,0
1500000US130630406122,130630000000,Block Group 2 Census Tract 406.12 Clayton County Georgia,1367,687,634,634,0,0,15,0,19,19,0,680,511,511,0,47,47,37,9,5,24
1500000US130630406123,130630000000,Block Group 3 Census Tract 406.12 Clayton County Georgia,561,300,236,236,0,6,8,10,24,16,0,261,220,220,0,14,7,10,0,10,0
1500000US130630406131,130630000000,Block Group 1 Census Tract 406.13 Clayton County Georgia,1066,415,336,312,24,0,0,41,23,15,0,651,372,372,0,116,34,114,15,0,0
1500000US130630406132,130630000000,Block Group 2 Census Tract 406.13 Clayton County Georgia,461,269,200,143,57,0,0,11,27,31,0,192,59,43,16,0,34,37,20,42,0
1500000US130630406133,130630000000,Block Group 3 Census Tract 406.13 Clayton County Georgia,1408,877,546,503,43,49,127,0,33,122,0,531,270,270,0,37,159,23,18,24,0
1500000US130630406141,130630000000,Block Group 1 Census Tract 406.14 Clayton County Georgia,445,232,172,115,57,0,16,0,28,16,0,213,168,168,0,0,0,45,0,0,0
1500000US130630406142,130630000000,Block Group 2 Census Tract 406.14 Clayton County Georgia,879,456,366,260,106,9,17,20,18,26,0,423,343,243,100,25,23,7,16,9,0
1500000US130630406143,130630000000,Block Group 3 Census Tract 406.14 Clayton County Georgia,641,287,185,185,0,46,20,0,20,16,0,354,227,227,0,45,69,9,0,4,0
1500000US130630406151,130630000000,Block Group 1 Census Tract 406.15 Clayton County Georgia,1043,473,374,374,0,0,0,0,59,40,0,570,374,374,0,75,29,72,8,12,0
1500000US130630406161,130630000000,Block Group 1 Census Tract 406.16 Clayton County Georgia,2483,1124,1006,915,91,73,0,0,45,0,0,1359,891,891,0,118,155,33,117,45,0
1500000US130630406162,130630000000,Block Group 2 Census Tract 406.16 Clayton County Georgia,304,107,92,92,0,0,0,0,0,15,0,197,140,140,0,16,22,19,0,0,0
